Sent,Nc-type,Nc-token,sentPrev,sentNC,sentPost,Source
9,auditoría externo,auditoría externa,"Os socialistas definirán a súa posición de cara á comisión executiva da Fegamp do mércores, pero nunha primeira análise advirten de que “o parche que propón o Goberno de Feijóo atrasa esta nova suba de impostos aos galegos unicamente seis meses, polo que non soluciona o problema real nin é suficiente para evitar unha nova carga fiscal aos cidadáns e ás empresas de Galicia”.","Neste sentido, os socialistas lembran que entre as súas peticións están unha auditoría externa económico-financeira e de xestión medioambiental con información clara e transparente.","Así mesmo, reclaman que a Xunta asuma a suba da taxa se non é quen de arranxar o problemas de xestión de Sogama, pero que “baixo ningún concepto lle transmita o problema á cidadanía galega”.",gl_cc-100
10,auditoría externo,auditoría externa,"Ademais, incluirase na memoria as actividades fundacionais, as mudanzas no órgano de goberno, dirección e representación, así como o grao de cumprimento do plano de actuación, indicando os recursos empregados, a súa procedencia, o número de beneficiarios en cada unha das distintas actuacións realizadas, os convenios que no seu caso se subscribisen con outras entidades para estes fins, así como o grao de cumprimento do destino de rendas e ingresos.","Se a Fundación se encontrar dentro dos requisitos legais estabelecidos, os documentos anteriores someteranse a auditoría externa, remitindo ao protectorado o informe da mesma xunto coas contas anuais.","Por acordo do Padroado poderán ser modificados os presentes Estatutos, sempre que iso resulte conveniente aos intereses da Fundación e se cumpran os requisitos previstos na lexislación vixente.",gl_cc-100
11,auditoría externo,auditoría externa,"E, ainda por riba, ten vostede o atrevemento de intentar contentarnos cá auditoría de Mondoñedo.","O que aparece colgado na páxina web do concello é un informe do Interventor Municipal, non unha auditoría e moito menos unha auditoría externa.","Nin está definida como tal, nin o tipo de auditoría, nin os obxectivos, ect.",gl_cc-100
12,auditoría externo,auditoría externa,"A Empresa contesta que ao respecto da implantación de modificacións na noite, que o que se está a facer é desenvolver polivalencias nas GAPS de dianteiros da liña 1 e non de realizar nada novo e que están modulando as sereas para que non se poidan modificar o volumen das mesmas.","O Comité pide o estudo psicosocial da Empresa, cousa solicitada na reunión do Comité de Saúde, e tamén solicitan unha auditoría externa de tempos e un estudo biomecánico.",O Comité sinala que os fisoterapeutas están saturados e non poden facer os tratamentos indicados polos médicos así como atender as doenzas cando se producen.,gl_cc-100
13,auditoría externo,auditoría externa,"As devanditas cantidades garantiranse mediante contrato de seguro comprometéndose a súa devolución, cos seus correspondentes xuros legais, no caso de que a construcción non se inicie ou non chegue a boa fin no prazo convido.","As cooperativas de vivendas, antes de presentarlle as súas contas anuais á asemblea xeral ordinaria para o seu estudio e aprobación, deberán sometelas a unha auditoría externa de contas.",Esta obriga legal subsistirá mentres non se produza a adxudicación ou cesión das vivendas ou locais.,gl_cc-100
1,aviso amarelo,aviso amarelo,"O luns manterase unha situación similar, coa cota de neve sobre os 600 metros.","Doutra banda, a AEMET activou avisos por fenómenos costeiros en boa parte do litoral, de modo que o risco importante afectará á Coruña e Lugo, mentres que Pontevedra terá aviso amarelo.",​Acumulacións de ata 30 centímetros de neve en estradas de Lugo,gl_cc-100
2,aviso amarelo,aviso amarelo,Ondas de cinco metros de altura e o mar batendo con forza.,"É a situación en todo o litoral pontevedrés, onde permanece activado o aviso amarelo.",A frota permanece amarrada a porto e os mariñeiros viven outra xornada sen poder saír a pescar.,gl_cc-100
3,aviso amarelo,aviso amarelo,As temperaturas mínimas sufriron un notable descenso con formación de xeadas en moitos puntos.,"Pola súa banda, o aviso amarelo por nevadas na montaña luguesa comeza despois do mediodía e espéranse acumulacións de neve superiores aos cinco centímetros durante a xornada, segundo información de Meteogalicia.","Ademais, prevese que ese aviso por nivel amarelo por neve se prolongue tamén ao longo de toda xornada do domingo na mesma zona.",gl_cc-100
4,aviso amarelo,aviso amarelo,"A alerta laranxa aféctalle tamén á nosa zona, Meteogalicia lanza unha mensaxe de aviso laranxa no litorial oeste da Coruña e na provincia de Pontevedra por acumulacións de 80 litros por metro cadrado en 12 horas.",Toda Galicia en aviso amarelo pola forza do vento.,Forza sete no litoral e en terra refachos que superarán os 80 km/h.,gl_cc-100
5,aviso amarelo,aviso amarelo,De alerta amarela por calor a alerta amarela por choivas torrenciais.,A Axencia Estatal de Meteoroloxía AEMET vén de declarar aviso amarelo por chuvascos intensos nas Rías Baixas e interior de Pontevedra de 6.00 a 18.00 horas do mércores 15 de xuño de 2016.,"Curiosamente, un ano antes, o 19 de xuño de 2015, Galicia torrábase con temperaturas que superaban os 35 graos.",gl_cc-100
6,aviso amarelo,aviso amarelo,"Se entre marzo e o que levamos de abril só houbo en Galicia 5 días sen chuvia, por fin agárdanos unha semana solleira, pero con algún risco de treboada.A nota discordante está na costa atlántica.","Hai aviso amarelo por mar de fondo que pasará a laranxa mañá a partir das tres, así que moito ollo con irse refrescar á praia.","O sol empeza a asomar timidamente, entre os últimos nubeiros, nunha xornada de transición que, segundo Meteogalicia, dará paso ao tan esperado anticiclón.",gl_cc-100
7,aviso amarelo,aviso amarelo,Nevou na montaña e choveu practicamente en toda Galicia.,Hai un aviso amarelo activado no interior de Pontevedra que mañá se estenderá ao oeste e ao suroeste da provincia da Coruña.,A previsión é que chova durante toda a semana.,gl_cc-100
8,aviso amarelo,aviso amarelo,"Dúas delas con risco importante, Cantabria e Asturias terán vento do oeste de forza 9.","As outras dez terán aviso amarelo por ventos do oeste con forza 7 que provocarán ondas de tres metros en Xirona, Mallorca, Menorca, Almería, Granada e Melilla e por mar combinada do noroeste de catro metros en Pontevedra, A Coruña, Lugo, Biscaia e Guipúzcoa.","Así mesmo, Xaén terá risco por choivas, xa que espera acumular 40 litros por metro cadrado en 12 horas.",gl_cc-100
9,aviso amarelo,aviso amarelo,"Nestas zonas, agárdase acumulación de polo menos 4 centímetros por riba dos 300 ou 400 metros.","Ademais, hoxe tamén haberá aviso amarelo por neve na montaña de Lugo, no noroeste e na montaña de Ourense, e no interior da Coruña.","Para o mércores, a acumulación de neve chegará aos 6 centímetros e espérase practicamente a calquera cota das zonas do centro e sur de Lugo, e Valdeorras e sur de Ourense.",gl_cc-100
10,aviso amarelo,aviso amarelo,"Así mesmo, a A-6 presenta problemas á circulación ante a acumulación de neve, en concreto, entre os quilómetros 474 e 463, no Corgo.","Nesa mesma autovía tamén existe un aviso amarelo en Vega de Valcarce, xa na provincia de León aínda que a poucos quilómetros da Comunidade galega.",A Autoestrada do Cantábrico (A-8) ten outro aviso polas malas condicións do firme provocadas polas nevadas.,gl_cc-100
11,aviso amarelo,aviso amarelo,"Segundo datos da Axencia Estatal de Meteoroloxía (Aemet), espérase mar combinado do noroeste, con ondas entre cinco e seis metros, para as primeiras horas da tarde deste domingo.","Así mesmo, Meteogalicia activou o aviso amarelo para a costa de Pontevedra, con ondas de catro a cinco metros.","Por iso, o Goberno galego lembra a importancia de manterse apartado da liña de costa, é dicir, diques, rompientes e paseos marítimos.",gl_cc-100
12,aviso amarelo,aviso amarelo,"A Axencia Estatal de Meteoroloxía (Aemet) informou dun fenómeno meteorolóxico adverso por ventos con refachos que poden alcanzar os 100 quilómetros por hora e que afectará á provincia da Coruña e tamén ás de Lugo, Ourense e Pontevedra.","Así mesmo, hai un aviso amarelo por chuvia que tamén afectará ás catro provincias.",O titular de autorizacións municipais para as instalacións temporais deberá adoptar as medidas de seguridade oportunas para evitar posibles accidentes.,gl_cc-100
13,aviso amarelo,aviso amarelo,Galicia está hoxe baixo a influencia de varias borrascas atlánticas que continuarán deixando nas próximas horas intensas precipitacións e vento forte.,"Ata esta tarde, hai aviso amarelo na provincia de Pontevedra e no oeste e suroeste da Coruña por choiva.",Tamén están activados avisos por refachos e por ondas.,gl_cc-100
14,aviso amarelo,aviso amarelo,"Ante esta situación, a Axencia Estatal de Meteoroloxía (Aemet) activou este martes un aviso de nivel laranxa na conca do Miño da provincia de Ourense e un nivel amarelo que se estende ao resto do país, agás as zonas litorais das provincias da Coruña e Lugo,","Do mesmo xeito, MeteoGalicia xa adianta a este mércores o aviso amarelo por temperaturas superiores aos 36º na bacía do Miño en Ourense e Pontevedra.","O mapa de predición de temperaturas máximas para o sábado 3 apunta a que toda Galicia, agás algúns puntos da costa norte, estará moi por riba dos 30ºC.",gl_cc-100
15,aviso amarelo,aviso amarelo,"Xa onte, o vento deixaba rexistros próximos aos 100 quilómetros por hora en toda a costa, e mesmo houbo refachos de 119 en Estaca de Bares.","Na costa, Meteogalicia ten activado ata as seis da tarde o aviso amarelo por mar axitado con ondas de catro metros.",En Fisterra só saíu un barco.,gl_cc-100
16,aviso amarelo,aviso amarelo,"Ademais, resultaron afectados estudantes de centros educativos doutros municipios ourensáns como Os Blancos, Laza, Muíños, Verín, Vilardevós, Xinzo de Limia, Castro Caldelas, A Pobra de Trives, Viana do Bolo e A Rúa.",Durante este luns 5 marzo hai aviso amarelo toda a xornada na montaña de Ourense por acumulacións de neve superiores ao cinco centímetros en 24 horas.,"04 Feijóo recoñece que falou con Cospedal e Sáenz de Santamaría, pero non revela a quen apoiará para suceder a Rajoy",gl_cc-100
17,aviso amarelo,aviso amarelo,"Na costa da Mariña luguesa, a partir do mediodía, chegará a alerta amerala por ondas, que alcanzarán os 5 metros.","O vento no mar acolle un aviso amarelo ata as 18 horas no litoral coruñés, por refachos do sueste forza 7.","En canto ao xoves, o vento alcanzou os 146 quilómetros por hora en Carballeda de Valdeorras, (en Ourense); e 129, en Vimianzo, (A Coruña).",gl_cc-100
18,aviso amarelo,aviso amarelo,Moderada: entre 2 e 15 mm/h.,"Cantidade superior a 15 nunha hora, sería aviso amarelo.",Forte: entre 15 e 30 mm/h.,gl_cc-100
19,aviso amarelo,aviso amarelo,"A alerta laranxa aféctalle tamén á nosa zona, Meteogalicia lanza unha mensaxe de aviso laranxa no litorial oeste da Coruña e na provincia de Pontevedra por acumulacións de 80 litros por metro cadrado en 12 horas.",Toda Galicia em aviso amarelo pola forza do vento.,Forza sete no litoral e en terra refachos que superarán os 80 km/h.,gl_cc-100
